tile_z_x_y,mask,center_mask,width,length
13_3769_4314,"[(138, 34.5), (141, 33.5), (148, 31), (141, 14), (135, 1), (130, 1), (122, 1), (135.5, 34), (138, 34.5)]","[119897.769, 486539.674]",5.336,15.797
13_3769_4314,"[(104, 73.5), (106.5, 71), (107.5, 67), (97.5, 43), (94.5, 37), (88, 30.5), (84, 31.5), (83.5, 40), (96.5, 69), (99, 72.5), (104, 73.5)]","[119880.928, 486524.907]",4.85,19.533
13_3769_4314,"[(155, 74.5), (160, 72.5), (161.5, 69), (151.5, 44), (148, 43.5), (143, 45.5), (141.5, 49), (151.5, 74), (155, 74.5)]","[119904.59, 486522.1]",4.68,13.181
13_3769_4314,"[(244, 88), (254, 82.5), (255.5, 81), (251.5, 72), (250, 71.5), (217, 87.5), (216.5, 90), (219.5, 96), (223, 97.5)]","[119940.095, 486511.245]",16.525,5.136
13_3769_4314,"[(116, 118.5), (124, 115.5), (125.5, 113), (110, 75.5), (100.5, 80), (116, 118.5)]","[119888.496, 486506.057]",4.564,17.78
13_3769_4314,"[(66, 174.5), (101, 157.5), (102.5, 156), (98.5, 148), (97, 146.5), (92, 148.5), (62, 163.5), (61.5, 166), (66, 174.5)]","[119875.31, 486479.567]",17.325,5.052
13_3769_4314,"[(34, 185.5), (53, 176.5), (51.5, 169), (49, 168.5), (30, 177.5), (28.5, 180), (30.5, 184), (34, 185.5)]","[119858.217, 486472.487]",10.708,3.756
13_3769_4314,"[(1, 203.5), (18, 195), (12, 185), (0.5, 191), (1, 203.5)]","[119844.322, 486465.413]",7.983,4.884
13_3838_4317,"[(43, 110), (46, 104), (41.5, 98), (1, 63.5), (0.5, 77), (31, 103.5), (35, 108)]","[127269.184, 486832.223]",4.949,26.174
13_3831_4306,"[(42, 209.5), (41.5, 208), (43.5, 207), (43.5, 201), (42.5, 190), (41, 188.5), (20, 190.5), (18, 189.5), (13.5, 191), (15.5, 207), (14.5, 208), (16, 209.5), (42, 209.5)]","[126519.379, 485602.954]",12.406,8.83
13_3831_4306,"[(66, 217.5), (67, 215.5), (76, 216.5), (79, 214.5), (87, 215.5), (94, 213.5), (93.5, 198), (83, 197.5), (59, 200.5), (58, 199.5), (56.5, 201), (56.5, 215), (59, 216.5), (64, 215.5), (66, 217.5)]","[126538.852, 485599.732]",16.06,7.804
13_3831_4306,"[(127, 219.5), (146, 217.5), (145.5, 203), (122, 203.5), (122.5, 219), (127, 219.5)]","[126563.403, 485598.117]",9.885,6.784
13_3829_4330,"[(35, 21.5), (47, 14.5), (63, 1), (58.5, 0), (50, 0), (46, 3), (32, 17), (32, 21.5), (35, 21.5)]","[126311.519, 488263.196]",15.503,3.962
13_3829_4330,"[(40, 32.5), (76, 9.5), (79.5, 4), (79.5, 0), (68, 0.5), (39, 21.5), (34.5, 26), (34.5, 30), (37, 32.5), (40, 32.5)]","[126316.109, 488260.77]",22.711,4.994
13_3829_4330,"[(45, 44.5), (87, 18.5), (90.5, 15), (89.5, 9), (84, 5.5), (40, 33.5), (38.5, 39), (42, 43.5), (45, 44.5)]","[126319.339, 488256.674]",24.836,5.283
13_3829_4330,"[(61, 47.5), (92, 28.5), (93.5, 26), (90.5, 21), (88, 19.5), (57, 38.5), (55.5, 42), (61, 47.5)]","[126323.484, 488253.155]",17.142,4.101
13_3829_4330,"[(49, 87.5), (87, 62.5), (90, 62.5), (92, 59.5), (110, 48.5), (113.5, 45), (115.5, 39), (114, 37.5), (105, 38.5), (45, 76.5), (42.5, 80), (42.5, 83), (45, 86.5), (49, 87.5)]","[126325.025, 488241.153]",35.79,5.145
13_3829_4330,"[(59, 101.5), (125, 55.5), (126.5, 54), (126.5, 49), (124, 46.5), (117, 47.5), (55, 90.5), (51.5, 94), (51.5, 98), (55, 101.5), (59, 101.5)]","[126329.479, 488236.168]",37.61,4.751
13_3829_4330,"[(100, 101), (130, 79.5), (132.5, 76), (131.5, 74), (130, 72.5), (126, 72.5), (94, 95), (95, 100), (98, 101)]","[126339.592, 488230.791]",18.821,3.511
13_3829_4330,"[(94, 116.5), (123, 96.5), (129, 92), (137, 85), (136, 81), (133, 81), (95, 106.5), (90.5, 111), (90.5, 114), (94, 116.5)]","[126339.665, 488225.721]",23.6,3.219
13_3829_4330,"[(103, 122.5), (141, 97.5), (144.5, 93), (145.5, 88), (144, 86.5), (137, 87.5), (102, 112.5), (98.5, 116), (98.5, 120), (103, 122.5)]","[126343.53, 488223.541]",23.875,4.394
13_3829_4330,"[(106, 137.5), (148, 108.5), (152.5, 103), (151.5, 99), (148, 96.5), (145, 96.5), (102, 126.5), (99.5, 130), (103.5, 137), (106, 137.5)]","[126345.134, 488218.215]",25.666,4.854
13_3829_4330,"[(114, 146.5), (158, 116.5), (160.5, 113), (160.5, 110), (157, 106.5), (151, 107.5), (112, 135.5), (108.5, 139), (108.5, 144), (114, 146.5)]","[126348.703, 488214.302]",26.089,4.779
13_3829_4330,"[(108, 168.5), (164, 129.5), (168.5, 125), (168.5, 120), (165, 116.5), (159, 117.5), (105, 157.5), (102.5, 160), (101.5, 164), (104, 167.5), (108, 168.5)]","[126349.251, 488207.602]",33.643,5.3
13_3829_4330,"[(158, 159), (182, 149), (184, 146), (184, 144), (179, 139), (173, 141), (144, 152.5), (135.5, 159), (135.5, 163), (139, 166.5)]","[126359.158, 488203.163]",21.877,4.705
13_3829_4330,"[(142, 177.5), (190, 158), (191, 152), (188, 150), (159, 161), (139, 169.5), (135.5, 174), (138, 177.5), (142, 177.5)]","[126360.848, 488198.28]",25.074,3.733
13_3829_4330,"[(151, 187), (189, 168.5), (191.5, 165), (190.5, 161), (188, 160), (138, 181), (132, 184), (133, 188), (141, 189), (146, 187), (149, 187)]","[126360.312, 488193.387]",26.657,4.438
13_3829_4330,"[(164, 215), (206, 189.5), (208.5, 187), (207.5, 181), (206, 179.5), (165, 202), (161, 206), (145, 218), (149, 224), (164, 213.5)]","[126366.817, 488182.754]",30.503,4.449
13_3829_4330,"[(177, 220.5), (215, 195.5), (216.5, 194), (213.5, 189), (210, 187.5), (173, 211.5), (160, 222), (167, 227), (177, 220.5)]","[126371.459, 488180.234]",26.39,4.081
13_3829_4330,"[(180, 242.5), (222, 212.5), (225.5, 208), (224.5, 204), (222, 201.5), (215, 202.5), (212.5, 205), (217.5, 211), (216, 213.5), (212.5, 211), (210, 206.5), (175, 230.5), (172.5, 234), (172.5, 239), (177, 242.5), (180, 242.5)]","[126375.192, 488173.767]",26.316,5.322
13_3829_4330,"[(189, 250.5), (226, 224.5), (229.5, 221), (229.5, 216), (226, 213.5), (221, 214.5), (190, 239), (187, 243), (185, 246), (186, 249.5), (189, 250.5)]","[126379.563, 488170.137]",23.058,4.597
13_3829_4330,"[(202, 255.5), (231, 233.5), (234.5, 230), (234.5, 226), (231, 223.5), (228, 224.5), (188.5, 255), (202, 255.5)]","[126382.079, 488166.154]",22.736,3.762
13_3829_4330,"[(223, 255.5), (240.5, 243), (242.5, 237), (239, 233.5), (234, 233.5), (205.5, 255), (223, 255.5)]","[126387.412, 488164.107]",16.959,4.829
13_3829_4330,"[(1, 132), (41, 101), (49, 103), (54, 108), (52, 115), (47, 121), (1, 151)]","[126303.287, 488215.211]",28.658,8.183
13_3829_4330,"[(1, 122), (33, 98), (37, 85), (30, 80), (18, 84), (0, 95)]","[126299.06, 488225.97]",21.42,9.324
13_3829_4330,"[(1, 91), (19, 79), (23, 67), (16, 62), (7, 63), (1, 68)]","[126296.46, 488236.038]",13.28,8.387
13_3829_4330,"[(77, 93), (123, 61), (129, 63), (129, 69), (124, 73), (81, 102), (76, 104), (72, 103), (72, 98)]","[126334.576, 488232.573]",29.246,4.377
